,year,source,target
715,1773,Lorence  Drescher,Elizabeth  Drescher
716,1782,Lorence  Drescher,Elizabeth  Kigli
717,1758,Andries  Seubert,Eva Maria Seubert
718,1763,Peter  Arnold,Anna Margaretha Arnold
719,1783,Daniel  Maurer,Regina  Wagener
720,1795,Heinrich  Meitzler,Gertraut  Meitzler
721,1774,Johannes  Helt,Maria  Helt
723,1781,Andries  Eisenhart,Elizabeth  Gerret
724,1799,George  Walbert,Elsiabetha  Walbert
725,1773,Heinrich  Knappenberger,Anna Maria Knappenberger
726,1775,Jacob  Wagener,Louisa  Huber
727,1784,Jurge  Stroh,Maria G Stroh
728,1798,Friedrich  Reiner,Maria Elizabeth Reiner
729,1776,Heinrich  Kammer,Anna M Kammer
730,1770,Michael  Beer,Maria Eva Beer
731,1771,Balthaser  Schmidt,Barbara  Schmidt
732,1772,Johannes  Trexler,Maria  Trexler
733,1779,Daniel  Jus,Catharina  Jus
734,1773,George  Breinig,Christina  Breinig
735,1762,Friedrich  Kleyn,Margriet  Kleyn
736,1783,Friedrich  Kammer,Catharina  Eisenhart
737,1785,Johannes  Helt,Maria  Helt
738,1786,Johannes A Heene,Margriet  Heene
739,1786,Nicholas  Grammes,Margriet  Grammes
740,1798,Johannes G Klohs,Catharina  Klohs
741,1771,Mattheus  Egner,Anna Barbara Eigner
742,1785,Johannes  Helt,Maria  Helt
743,1798,Nicholas  Carl,Margriet  Carl
744,1786,Philip  Beer,Maria  Beer
745,1790,Peter  Dehevin,Elizabeth  Dehevin
747,1788,Peter  Schener,Maria  Schener
748,1798,Daniel  Schmoyer,Catharina  Schmoyer
749,1796,George  Traub,Christina  Traub
750,1789,Johannes N Koch,Maria  Koch
