,congregation,year,modularity,count
584,sleepyhollow-drc,1733,8,52
585,sleepyhollow-drc,1733,9,18
586,sleepyhollow-drc,1733,10,48
587,sleepyhollow-drc,1733,11,60
588,sleepyhollow-drc,1733,12,0
589,sleepyhollow-drc,1733,13,21
590,sleepyhollow-drc,1733,14,40
591,sleepyhollow-drc,1733,15,0
592,sleepyhollow-drc,1734,0,60
593,sleepyhollow-drc,1734,1,33
594,sleepyhollow-drc,1734,2,25
595,sleepyhollow-drc,1734,3,48
596,sleepyhollow-drc,1734,4,56
597,sleepyhollow-drc,1734,5,12
598,sleepyhollow-drc,1734,6,30
599,sleepyhollow-drc,1734,7,85
600,sleepyhollow-drc,1734,8,54
601,sleepyhollow-drc,1734,9,20
602,sleepyhollow-drc,1734,10,49
603,sleepyhollow-drc,1734,11,60
604,sleepyhollow-drc,1734,12,2
605,sleepyhollow-drc,1734,13,24
606,sleepyhollow-drc,1734,14,44
607,sleepyhollow-drc,1734,15,0
608,sleepyhollow-drc,1735,0,59
609,sleepyhollow-drc,1735,1,33
610,sleepyhollow-drc,1735,2,25
611,sleepyhollow-drc,1735,3,42
612,sleepyhollow-drc,1735,4,58
613,sleepyhollow-drc,1735,5,12
614,sleepyhollow-drc,1735,6,32
615,sleepyhollow-drc,1735,7,89
616,sleepyhollow-drc,1735,8,55
617,sleepyhollow-drc,1735,9,19
618,sleepyhollow-drc,1735,10,49
619,sleepyhollow-drc,1735,11,62
620,sleepyhollow-drc,1735,12,2
621,sleepyhollow-drc,1735,13,26
622,sleepyhollow-drc,1735,14,44
623,sleepyhollow-drc,1735,15,0
624,sleepyhollow-drc,1736,0,60
625,sleepyhollow-drc,1736,1,35
626,sleepyhollow-drc,1736,2,25
627,sleepyhollow-drc,1736,3,40
628,sleepyhollow-drc,1736,4,60
629,sleepyhollow-drc,1736,5,12
630,sleepyhollow-drc,1736,6,34
631,sleepyhollow-drc,1736,7,90
632,sleepyhollow-drc,1736,8,55
633,sleepyhollow-drc,1736,9,20
634,sleepyhollow-drc,1736,10,54
635,sleepyhollow-drc,1736,11,63
636,sleepyhollow-drc,1736,12,4
637,sleepyhollow-drc,1736,13,25
638,sleepyhollow-drc,1736,14,46
639,sleepyhollow-drc,1736,15,0
640,sleepyhollow-drc,1737,0,61
641,sleepyhollow-drc,1737,1,35
642,sleepyhollow-drc,1737,2,25
643,sleepyhollow-drc,1737,3,45
644,sleepyhollow-drc,1737,4,61
645,sleepyhollow-drc,1737,5,12
646,sleepyhollow-drc,1737,6,38
647,sleepyhollow-drc,1737,7,91
648,sleepyhollow-drc,1737,8,56
649,sleepyhollow-drc,1737,9,23
650,sleepyhollow-drc,1737,10,53
651,sleepyhollow-drc,1737,11,70
652,sleepyhollow-drc,1737,12,5
653,sleepyhollow-drc,1737,13,27
654,sleepyhollow-drc,1737,14,46
655,sleepyhollow-drc,1737,15,0
656,sleepyhollow-drc,1738,0,61
657,sleepyhollow-drc,1738,1,35
658,sleepyhollow-drc,1738,2,25
659,sleepyhollow-drc,1738,3,46
660,sleepyhollow-drc,1738,4,61
661,sleepyhollow-drc,1738,5,12
662,sleepyhollow-drc,1738,6,40
663,sleepyhollow-drc,1738,7,94
664,sleepyhollow-drc,1738,8,60
665,sleepyhollow-drc,1738,9,23
666,sleepyhollow-drc,1738,10,55
667,sleepyhollow-drc,1738,11,70
668,sleepyhollow-drc,1738,12,6
669,sleepyhollow-drc,1738,13,27
670,sleepyhollow-drc,1738,14,46
671,sleepyhollow-drc,1738,15,0
672,sleepyhollow-drc,1739,0,62
673,sleepyhollow-drc,1739,1,34
674,sleepyhollow-drc,1739,2,25
675,sleepyhollow-drc,1739,3,46
676,sleepyhollow-drc,1739,4,61
677,sleepyhollow-drc,1739,5,11
678,sleepyhollow-drc,1739,6,46
679,sleepyhollow-drc,1739,7,93
680,sleepyhollow-drc,1739,8,58
681,sleepyhollow-drc,1739,9,23
682,sleepyhollow-drc,1739,10,55
683,sleepyhollow-drc,1739,11,71
684,sleepyhollow-drc,1739,12,9
685,sleepyhollow-drc,1739,13,27
686,sleepyhollow-drc,1739,14,46
687,sleepyhollow-drc,1739,15,0
688,sleepyhollow-drc,1740,0,62
689,sleepyhollow-drc,1740,1,33
690,sleepyhollow-drc,1740,2,25
691,sleepyhollow-drc,1740,3,51
692,sleepyhollow-drc,1740,4,61
693,sleepyhollow-drc,1740,5,13
694,sleepyhollow-drc,1740,6,47
695,sleepyhollow-drc,1740,7,96
